Название текста,Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
Интервью,fin,FL,B2,,Я  считала*@*  что  я  девять  тысяч  километров    каждый  год  сидела  за  рулём.,что,изъяснение,гп,мест,мест,и,и,1ед,мест мест,other
Интервью с трёмя студентами Хельсинкского университета,fin,FL,B2,,А  да*@*  я  ведь  сказала*@*  что  буду  кончать  мои  сегодняшие  учёбы*@*  но  кто  знает  если  я  решаю  начать  что-то  новое!,что,изъяснение,гп,мест,null,и,null,1ед,мест null,null
Интервью с трёмя студентами Хельсинкского университета,fin,FL,B2,,Но  я  не  хочу  быть  так  уверен  ещё*@*  я  думаю*@*  что  найду  многие  новые  интересы  в  течение  будущих  годов.,что,изъяснение,гп,мест,null,и,null,1ед,мест null,null
текст 53,fin,FL,B2,,Лена:  Знаешь  Ира*@*  Я  думаю*@*  что  я*@*  пожалуй*@*  не  очень  хороший  человек.,что,изъяснение,гп,мест,мест,и,и,1ед,мест мест,other
текст 60,fin,FL,B2,,Но  я  и  сама  работала  в  магазинах*@*  и  знаю*@*  что  я  не  единственный  покупатель  привык  к  своим  привычкам.  ничего  страшного*@*  это  легче!,что,изъяснение,гп,мест,мест,и,и,1ед,мест мест,other
В России,fin,FL,B2,,Мы  договорились*@*  что  мы  идём  вместе  в  банку  и  встретимся  через  час.,что,изъяснение,гп,мест,мест,и,и,1мн,мест мест,other
текст 80,fin,FL,B2,,Я  думаю*@*  что  я  сплю  хорошо*@*  но  мало.,что,изъяснение,гп,мест,мест,и,и,1ед,мест мест,other
текст 85,fin,FL,B2,,К  сожалению*@*  я  тоже  думаю*@*  что  я  была  бы  плохим  послом.,что,изъяснение,гп,мест,мест,и,и,1ед,мест мест,other
текст 86,fin,FL,B2,,Я  не  могу  сказать*@*  что  я  патриотка*@*  но  я  гордая  Финляндии  и  обычно  я  тоже  гордая*@*  что  я  финка.,что,изъяснение,гп,мест,мест,и,и,1ед,мест мест,other
целовек и общество,fin,FL,B2,,Я  думаю*@*  что  могла  бы  стать  хорошим  лидером.  я  по- характеру  спокойная*@*  оптимизмая*@*  целеустремленная*@*  логическая*@*  практическая*@*  и  требовательная ( но  не  слишком).,что,изъяснение,гп,мест,null,и,null,1ед,мест null,null
текст 95,fin,FL,B2,,Я  не  хочу  сказать*@*  что  я  выше  других.,что,изъяснение,гп,мест,мест,и,и,1ед,мест мест,other
текст 95,fin,FL,B2,,Я  лучше  всех  знаю*@*  что  я  тоже  не  безупречная.,что,изъяснение,гп,мест,мест,и,и,1ед,мест мест,other
текст 99,fin,FL,B2,,Мне  кажется*@*  что  я  удачливая*@*  по  тому*@*  что  мои  бабушки  и  дедушки  долго  были  в  моей  жизни.,что,изъяснение,гп,мест,мест,д,и,1ед,мест мест,other
Животные в моей жизни,fin,FL,B2,,Помню*@*  что  еще  в  детстве  я  полюбила  собак  и  мечтала  о  том*@*  что  в  один  день  могла  бы  иметь  свою  собственную.,что,изъяснение,гп,null,мест,null,и,1ед,null мест,null
Мой русский язык,fin,FL,B2,,Приехала  я  в  Россию  совсем  зеленой*@*  что  касается  русского  языка*@*  и  если  говорю*@*  что  начинала  с  нуля*@*  не  чуть  не  преувеличиваю...,что,изъяснение,гп,null,null,null,null,1ед,null null,null
